CustomerID,CustomerType,AgeGroup,Gender,Location,DateOfFirstPurchase,LastPurchaseDate
C00121,Returning,60+,Female,Toddburgh,2024-02-08,2024-06-24
C00122,Returning,41-60,Female,Lake Christina,2024-01-18,2024-06-23
C00123,Returning,<18,Male,West Saraberg,2023-12-27,2024-05-05
C00124,New,26-40,Female,Kellychester,2023-12-31,2025-03-27
C00125,Returning,26-40,Male,Dalemouth,2023-12-10,2024-03-08
C00126,New,26-40,Other,South Josephside,2023-07-06,2024-04-03
C00127,New,41-60,Other,Lake Nicole,2023-07-22,2024-06-19
C00128,Returning,18-25,Other,Lambury,2024-04-06,2024-12-14
C00129,New,18-25,Female,Andersonfurt,2024-01-14,2025-01-10
C00130,Returning,<18,Other,Nicoletown,2023-09-27,2023-10-23
C00131,New,18-25,Male,Pearsonport,2024-02-11,2024-08-31
C00132,New,<18,Male,Port Kathleen,2024-03-25,2024-05-25
C00133,Returning,60+,Female,Rivaschester,2023-08-18,2024-11-20
C00134,Returning,26-40,Female,Lake Nicole,2023-09-08,2024-04-09
C00135,Returning,41-60,Other,Alyssabury,2023-06-23,2024-05-20
C00136,Returning,<18,Female,Port Marvinmouth,2024-04-20,2024-11-18
C00137,New,41-60,Female,Andersonfurt,2023-07-02,2023-10-30
C00138,New,41-60,Other,West Saraberg,2023-07-31,2024-08-26
C00139,New,26-40,Female,Johnburgh,2023-06-28,2024-04-15
C00140,Returning,60+,Male,Katherineborough,2024-01-03,2024-12-27
C00141,New,60+,Female,Garzaborough,2024-05-04,2025-03-26
C00142,Returning,18-25,Other,Katherineborough,2024-03-05,2024-06-30
C00143,New,60+,Male,Garyside,2023-10-20,2023-11-21
C00144,Returning,26-40,Other,Pearsonport,2023-11-28,2024-04-28
C00145,New,41-60,Other,Port Marvinmouth,2023-08-28,2023-10-25
C00146,New,<18,Female,Port Kathleen,2023-10-15,2024-07-19
C00147,Returning,<18,Other,Dalemouth,2023-08-16,2024-07-03
C00148,New,60+,Male,Nicoletown,2023-05-25,2024-08-21
C00149,Returning,18-25,Male,Robertsmouth,2024-05-05,2024-08-19
C00150,New,<18,Male,West Brian,2024-02-26,2024-09-09
C00151,New,18-25,Male,Brianhaven,2024-01-17,2025-02-21
C00152,Returning,<18,Female,Starkberg,2023-08-28,2025-04-11
C00153,Returning,18-25,Other,Emilystad,2023-05-08,2024-01-13
C00154,New,18-25,Female,Brianhaven,2024-02-14,2024-06-04
C00155,New,41-60,Male,Robertsmouth,2024-03-22,2024-08-05
C00156,New,26-40,Female,Karibury,2023-08-05,2025-04-04
C00157,New,<18,Other,Lake Melissa,2023-12-10,2024-06-30
C00158,New,60+,Other,South Josephside,2024-02-29,2025-02-25
C00159,New,26-40,Female,Lake Melissa,2024-02-08,2025-03-04
C00160,Returning,41-60,Other,East Mary,2023-06-20,2023-09-05
C00161,Returning,41-60,Male,Port Karenchester,2024-02-16,2024-08-28
C00162,Returning,41-60,Female,Lake Adamburgh,2024-01-01,2024-09-24
C00163,New,60+,Other,South Nicole,2024-04-28,2024-09-26
C00164,New,<18,Male,Katherineborough,2024-03-23,2025-01-10
C00165,New,<18,Female,Fieldsmouth,2023-06-26,2024-10-12
C00166,Returning,18-25,Other,Port Brittanyville,2023-09-28,2025-01-18
C00167,Returning,18-25,Other,Port Kathleen,2023-07-31,2025-03-19
C00168,New,18-25,Male,Jonathonhaven,2024-02-05,2024-12-03
C00169,New,60+,Other,South Michelleville,2023-08-08,2024-08-09
C00170,Returning,26-40,Female,Tiffanyton,2023-05-17,2023-10-08
C00171,Returning,<18,Male,East Michael,2024-03-11,2025-02-28
C00172,Returning,18-25,Female,Tiffanyton,2023-06-09,2024-06-03
C00173,New,60+,Male,Lake Drew,2023-08-29,2024-06-25
C00174,New,60+,Other,Lake Nicole,2024-01-05,2024-05-18
C00175,New,18-25,Male,Frederickbury,2024-03-11,2024-08-25
C00176,Returning,41-60,Male,Eduardoport,2023-07-23,2024-08-06
C00177,Returning,41-60,Female,Lake Brenda,2024-03-16,2024-12-25
C00178,New,41-60,Other,North Michael,2023-09-04,2024-12-16
C00179,New,18-25,Female,Crossborough,2023-11-24,2024-08-05
C00180,Returning,60+,Female,Christopherstad,2023-12-24,2024-06-17
C00181,New,60+,Other,West Robin,2024-03-27,2024-12-18
C00182,Returning,<18,Male,Eduardoport,2023-09-18,2025-03-19
C00183,Returning,41-60,Female,Simmonsborough,2023-09-27,2024-10-02
C00184,New,18-25,Male,Lake Melissa,2024-03-12,2025-01-29
C00185,Returning,<18,Other,Lake Christina,2023-08-22,2024-07-20
C00186,New,60+,Male,South Brianshire,2023-08-08,2025-02-28
C00187,Returning,<18,Other,Rivaschester,2023-06-27,2025-01-08
C00188,Returning,41-60,Other,Port Marvinmouth,2023-12-16,2024-02-16
C00189,New,26-40,Male,West Mary,2024-05-04,2024-05-24
C00190,Returning,41-60,Other,Emilystad,2023-11-16,2024-11-02
C00191,New,41-60,Female,Davisshire,2023-11-19,2024-02-09
C00192,New,18-25,Female,Aarontown,2023-06-12,2024-05-17
C00193,Returning,26-40,Male,Jonathonhaven,2023-12-14,2024-10-10
C00194,New,26-40,Female,Lake Jerryview,2023-07-31,2024-05-15
C00195,New,26-40,Other,Andersonfurt,2024-05-06,2024-09-24
C00196,New,60+,Female,Longbury,2024-03-21,2024-11-22
C00197,New,<18,Female,Port Brittanyville,2023-07-22,2023-09-11
C00198,New,60+,Male,Alvinstad,2024-05-03,2025-04-25
C00199,New,26-40,Other,Lake Tracy,2024-03-23,2024-09-23
C00200,Returning,18-25,Female,Lake Drew,2024-04-19,2024-07-09
C00201,New,41-60,Other,North Cynthiaside,2023-10-09,2023-10-24
C00202,Returning,41-60,Male,Lake Drew,2023-05-25,2023-08-28
C00203,Returning,60+,Female,North Dustin,2024-01-26,2024-04-10
C00204,New,60+,Other,Johnburgh,2023-07-28,2025-05-03
C00205,Returning,18-25,Female,New Colin,2023-08-28,2023-12-31
C00206,Returning,41-60,Male,Martinezberg,2023-08-25,2023-10-07
C00207,New,60+,Male,West John,2024-04-03,2024-07-09
C00208,New,<18,Other,Port Marvinmouth,2023-12-16,2024-10-27
C00209,New,60+,Female,Nicoletown,2023-09-04,2025-02-08
C00210,Returning,60+,Female,New Teresa,2023-07-01,2025-01-19
C00211,Returning,26-40,Other,Benderberg,2023-08-31,2023-09-08
C00212,New,<18,Male,East Michael,2024-01-12,2025-01-22
C00213,New,<18,Male,Gravesville,2023-09-05,2024-03-28
C00214,Returning,18-25,Female,Martinezberg,2024-04-25,2024-10-28
C00215,Returning,26-40,Other,New Joel,2023-12-18,2024-05-28
C00216,Returning,<18,Female,South Nicole,2023-11-15,2025-04-28
C00217,Returning,26-40,Male,Davisshire,2023-05-17,2023-10-15
C00218,New,26-40,Male,Garyside,2024-03-18,2024-06-28
C00219,Returning,41-60,Male,New Joel,2024-02-14,2024-11-23
C00220,Returning,<18,Female,Martinezberg,2023-08-26,2024-02-03
C00221,Returning,41-60,Other,East Mary,2023-12-01,2024-06-21
C00222,Returning,60+,Female,Brownberg,2024-01-02,2025-02-01
C00223,New,60+,Other,Lake Christina,2024-04-17,2025-03-31
C00224,New,41-60,Female,North Cynthiaside,2023-12-01,2023-12-23
C00225,Returning,60+,Other,Johnburgh,2023-07-08,2023-11-06
C00226,Returning,41-60,Other,West Robin,2023-06-29,2024-06-30
C00227,New,18-25,Male,East Michael,2024-04-06,2024-10-11
C00228,New,26-40,Male,East Sheila,2023-11-24,2024-06-12
C00229,Returning,18-25,Female,West John,2024-01-09,2024-03-09
C00230,Returning,<18,Other,Gillespieshire,2023-12-29,2025-02-02
C00231,New,18-25,Male,Port Kathleen,2024-01-01,2024-09-14
C00232,New,18-25,Female,New Teresa,2023-06-03,2024-09-21
C00233,New,60+,Male,Gillespieshire,2023-12-20,2024-02-28
C00234,New,41-60,Other,Garyside,2023-07-25,2025-01-07
C00235,New,<18,Male,North Renee,2023-11-13,2024-06-08
C00236,New,60+,Female,Lambury,2024-02-18,2025-01-03
C00237,Returning,<18,Female,Dalemouth,2023-05-11,2024-07-22
C00238,New,26-40,Female,Nelsonton,2023-05-26,2024-07-07
C00239,New,41-60,Female,Port Karenchester,2023-07-27,2025-01-19
C00240,New,60+,Male,Nicoletown,2023-12-25,2024-06-20
C00241,New,18-25,Female,Tiffanyton,2023-05-15,2023-12-04
C00242,Returning,26-40,Female,Smithbury,2023-06-17,2024-07-29
C00243,Returning,18-25,Male,Pruittfurt,2023-07-22,2024-09-12
C00244,New,<18,Male,Lake Nicole,2023-11-01,2023-12-07
C00245,Returning,26-40,Other,Annborough,2024-02-22,2025-03-04
C00246,Returning,60+,Female,Richardland,2023-12-24,2024-10-08
C00247,Returning,18-25,Male,Georgechester,2024-02-13,2025-01-28
C00248,Returning,18-25,Female,New Erin,2023-05-19,2024-12-13
C00249,Returning,<18,Male,Nicoletown,2023-12-23,2024-04-11
C00250,Returning,<18,Male,North Dustin,2024-03-19,2024-05-03
C00251,New,41-60,Female,Tiffanyton,2023-12-12,2024-01-07
C00252,New,41-60,Other,Malloryville,2023-10-27,2023-11-23
C00253,New,<18,Female,Frederickbury,2023-08-29,2025-05-03
C00254,New,41-60,Other,Pruittfurt,2023-12-05,2025-01-13
C00255,New,18-25,Other,Jonathonhaven,2023-07-07,2023-09-09
C00256,Returning,<18,Female,East Michael,2023-07-23,2024-07-13
C00257,New,26-40,Other,Alvinstad,2024-02-05,2024-03-08
C00258,New,<18,Female,Garzaborough,2024-03-29,2025-03-07
C00259,Returning,60+,Male,Longbury,2024-01-06,2024-05-28
C00260,Returning,60+,Other,Lake Tracy,2023-10-14,2025-01-17
C00261,New,<18,Female,Lake Jerryview,2023-06-02,2023-08-27
C00262,Returning,26-40,Other,Nelsonton,2023-11-24,2024-12-03
C00263,Returning,<18,Female,Brownberg,2023-10-13,2025-04-21
C00264,Returning,26-40,Female,Lake Tracy,2023-10-26,2024-02-13
C00265,Returning,18-25,Other,New Joel,2023-09-18,2024-12-15
C00266,New,18-25,Male,Richardfurt,2024-01-18,2024-12-20
C00267,Returning,26-40,Male,West Brian,2024-02-05,2024-10-08
C00268,New,41-60,Other,New Erin,2023-09-11,2025-03-20
C00269,New,18-25,Female,Mayborough,2023-08-08,2025-02-18
C00270,Returning,60+,Male,Middletonview,2023-05-08,2025-05-05
C00271,Returning,<18,Female,West Mary,2023-05-08,2023-12-11
C00272,Returning,41-60,Other,Port Wayneville,2024-03-09,2024-12-28
C00273,New,60+,Female,Smithbury,2023-08-13,2024-04-23
C00274,Returning,<18,Male,Davisshire,2023-06-30,2024-04-28
C00275,Returning,60+,Male,Lake Jerryview,2024-05-03,2024-05-13
C00276,Returning,41-60,Other,New Joel,2023-07-05,2023-09-18
C00277,Returning,26-40,Other,Watsonburgh,2024-01-08,2025-01-17
C00278,Returning,<18,Other,Andersonfurt,2023-12-20,2024-05-26
C00279,New,60+,Female,Port Wayneville,2023-11-08,2024-02-20
C00280,Returning,60+,Male,West Mary,2023-07-03,2023-12-31
C00281,Returning,41-60,Other,New Teresa,2023-08-07,2024-11-10
C00282,Returning,41-60,Male,North Cynthiaside,2023-07-29,2025-03-25
C00283,New,41-60,Male,Georgechester,2024-04-15,2025-02-16
C00284,Returning,26-40,Male,Port Marvinmouth,2023-08-11,2023-09-20
C00285,New,18-25,Male,Dalemouth,2024-02-09,2024-08-03
C00286,New,60+,Other,Benderberg,2023-09-04,2024-07-01
C00287,Returning,26-40,Other,Ryanhaven,2024-01-14,2024-02-15
C00288,Returning,60+,Female,South Nicole,2024-05-05,2025-01-02
C00289,Returning,26-40,Other,Lake Christina,2024-03-06,2024-03-27
C00290,New,<18,Male,Karibury,2023-05-12,2024-08-17
C00291,New,18-25,Female,Fieldsmouth,2023-06-02,2023-11-25
C00292,New,60+,Female,Malloryville,2023-07-30,2024-08-11
C00293,New,41-60,Other,West Robin,2023-11-26,2024-04-21
C00294,New,18-25,Other,Christopherstad,2023-09-09,2024-04-14
C00295,New,60+,Male,North Dustin,2024-01-04,2024-04-05
C00296,Returning,<18,Other,New Teresa,2024-05-03,2025-02-21
C00297,Returning,60+,Female,Petersonstad,2023-05-19,2025-04-01
C00298,New,60+,Male,Joshuastad,2023-09-19,2025-01-05
C00299,Returning,60+,Male,Maryfort,2024-02-09,2024-09-10
C00300,Returning,18-25,Female,Lake Christina,2024-04-24,2024-06-15
C00301,New,60+,Female,North Dustin,2023-06-04,2025-03-17
C00302,New,41-60,Female,West Joann,2023-10-17,2025-01-09
C00303,Returning,26-40,Female,North Michael,2023-11-07,2024-03-12
C00304,New,41-60,Other,Longbury,2023-12-25,2025-03-21
C00305,New,<18,Female,West Joann,2023-11-05,2024-11-13
C00306,Returning,18-25,Other,Fieldsmouth,2024-03-30,2024-12-24
C00307,New,26-40,Female,Karibury,2023-06-11,2023-07-29
C00308,Returning,18-25,Female,Fordstad,2023-09-03,2024-04-05
C00309,Returning,18-25,Female,East Mary,2023-07-07,2023-12-21
C00310,Returning,60+,Other,New Erin,2024-03-23,2024-07-10
C00311,Returning,41-60,Female,South Michelleville,2024-02-07,2024-07-09
C00312,Returning,26-40,Other,North Cynthiaside,2024-03-13,2024-03-24
C00313,New,60+,Male,Nelsonton,2024-04-24,2024-06-29
C00314,New,26-40,Male,Jordanville,2023-05-20,2025-02-21
C00315,New,41-60,Female,Lake Brenda,2024-02-08,2025-01-13
C00316,New,60+,Female,New Joel,2024-04-26,2024-10-20
C00317,Returning,26-40,Female,Rodgersburgh,2024-01-19,2024-08-27
C00318,Returning,60+,Female,Eduardoport,2023-12-03,2023-12-26
C00319,New,18-25,Male,Lake Richardberg,2023-05-26,2025-04-22
C00320,Returning,<18,Other,Nelsonton,2023-07-16,2025-03-31
C00321,New,26-40,Female,Starkberg,2023-08-27,2023-12-23
C00322,New,41-60,Male,Brownberg,2023-05-29,2023-08-10
C00323,New,26-40,Other,West Saraberg,2023-05-13,2023-12-26
C00324,Returning,<18,Female,Annborough,2023-09-07,2024-02-03
C00325,Returning,26-40,Male,Petersonstad,2024-04-10,2024-06-04
C00326,Returning,26-40,Female,Port Marvinmouth,2023-09-19,2024-04-18
C00327,Returning,26-40,Female,Richardland,2023-12-01,2025-03-15
C00328,New,41-60,Male,Lake Drew,2023-06-27,2024-06-10
C00329,Returning,<18,Female,Richardland,2023-11-11,2024-10-06
C00330,Returning,<18,Female,Richardland,2024-02-04,2024-04-12
C00331,Returning,41-60,Male,Lambury,2024-03-21,2024-09-06
C00332,New,26-40,Female,East Kristin,2024-02-13,2024-10-07
C00333,New,26-40,Other,Martinezberg,2024-01-02,2025-03-18
C00334,Returning,<18,Female,Mayside,2023-10-05,2025-02-25
C00335,Returning,26-40,Male,Georgechester,2024-01-17,2025-04-19
C00336,Returning,18-25,Female,Lake Brenda,2023-08-13,2024-04-03
C00337,Returning,26-40,Female,East Sheila,2023-05-20,2024-08-22
C00338,New,26-40,Female,Port Karenchester,2023-10-11,2025-02-03
C00339,Returning,60+,Other,Richardfurt,2024-04-01,2025-02-03
C00340,Returning,<18,Female,Pereztown,2024-01-16,2024-10-31
C00341,Returning,<18,Male,West Saraberg,2023-09-11,2023-12-17
C00342,New,18-25,Male,Malloryville,2023-08-20,2024-11-21
C00343,New,18-25,Male,Simmonsborough,2023-12-15,2024-05-21
C00344,Returning,18-25,Male,Fieldsmouth,2024-01-23,2025-01-31
C00345,Returning,<18,Female,Schultzchester,2023-07-07,2024-01-23
C00346,Returning,60+,Other,Longbury,2023-09-09,2023-09-15
C00347,Returning,60+,Male,Smithbury,2023-11-27,2025-03-26
C00348,Returning,41-60,Female,Whitakerchester,2024-03-25,2025-01-25
C00349,New,<18,Other,West Katherine,2023-08-26,2025-01-15
C00350,New,41-60,Other,Toddburgh,2024-03-27,2025-01-02
C00351,New,26-40,Male,Crossborough,2024-05-01,2025-02-01
C00352,Returning,18-25,Female,Frederickbury,2023-08-19,2024-10-01
C00353,New,41-60,Female,Gillespieshire,2023-07-03,2023-09-22
C00354,New,41-60,Female,Johnburgh,2024-01-11,2024-02-11
C00355,New,<18,Female,Karibury,2023-06-01,2024-12-18
C00356,Returning,18-25,Male,Lake Tracy,2023-11-02,2025-04-11
C00357,Returning,18-25,Other,Andrewville,2023-08-09,2024-08-19
C00358,New,60+,Other,Brianhaven,2023-05-23,2023-09-19
C00359,Returning,41-60,Male,Lake Tracy,2023-05-23,2024-06-13
C00360,New,60+,Other,Richardland,2023-11-22,2025-03-04
C00361,New,41-60,Other,Mayborough,2023-07-14,2024-12-06
C00362,New,<18,Male,Fieldsmouth,2024-04-30,2024-10-06
C00363,New,<18,Male,Lambury,2023-09-03,2023-12-22
C00364,Returning,26-40,Other,West Robin,2024-05-03,2025-04-16
C00365,Returning,41-60,Male,Emilystad,2024-04-28,2025-01-31
C00366,Returning,41-60,Female,Lake Jerryview,2024-02-19,2025-02-01
C00367,Returning,18-25,Female,Andrewville,2023-07-09,2023-12-10
C00368,New,18-25,Other,Richardfurt,2023-10-15,2024-10-21
C00369,Returning,60+,Male,Lake Tracy,2023-10-19,2024-01-09
C00370,New,26-40,Female,North Donnabury,2023-12-17,2024-12-12
C00371,Returning,<18,Male,Port Brittanyville,2023-12-07,2024-08-04
C00372,Returning,41-60,Other,Andersonfurt,2024-02-26,2024-07-15
C00373,Returning,60+,Other,Andersonfurt,2023-09-09,2024-01-13
C00374,New,26-40,Male,Alyssabury,2024-04-17,2025-04-17
C00375,New,18-25,Male,Toddburgh,2024-04-12,2025-02-15
C00376,New,26-40,Male,West Joann,2023-09-20,2025-05-03
C00377,New,60+,Female,Nelsonton,2023-10-24,2024-09-29
C00378,Returning,<18,Other,Annborough,2023-10-27,2024-09-29
C00379,New,18-25,Other,Ryanhaven,2023-08-04,2024-09-15
C00380,New,18-25,Female,Garzaborough,2023-09-25,2023-11-01
C00381,Returning,<18,Female,New Erin,2024-02-27,2024-10-20
C00382,Returning,18-25,Female,Rodgersburgh,2024-05-01,2025-02-18
C00383,New,60+,Other,Longbury,2024-02-22,2024-08-17
C00384,Returning,18-25,Male,Garzaborough,2023-10-18,2023-12-29
C00385,New,41-60,Male,Lake Richardberg,2023-10-28,2024-06-22
C00386,Returning,26-40,Other,New Erin,2024-02-21,2024-08-29
C00387,New,60+,Other,Lake Tracy,2023-10-17,2025-03-20
C00388,New,<18,Male,Lake Tracy,2024-01-02,2024-08-22
C00389,New,60+,Female,Lake Melissa,2023-06-26,2024-04-15
C00390,New,41-60,Female,North Michael,2024-01-14,2025-04-25
C00391,New,18-25,Other,Lisatown,2023-12-18,2024-06-21
C00392,Returning,18-25,Other,East Kristin,2023-11-20,2024-05-14
C00393,New,60+,Other,Longbury,2023-08-31,2024-01-16
C00394,New,18-25,Other,Lake Nicole,2023-11-03,2024-07-04
C00395,New,18-25,Male,Pereztown,2024-03-20,2024-09-18
C00396,New,41-60,Male,South Nicole,2023-09-17,2023-11-20
C00397,New,<18,Other,West Robin,2024-04-24,2024-12-11
C00398,Returning,26-40,Male,Lake Drew,2024-04-26,2024-09-19
C00399,Returning,60+,Female,Lake Brenda,2023-07-29,2023-10-07
C00400,New,<18,Female,Pearsonport,2024-01-05,2024-05-01
C00401,Returning,26-40,Other,Emilystad,2024-01-24,2024-07-19
C00402,New,<18,Female,Rivaschester,2024-04-09,2024-10-03
C00403,Returning,60+,Other,Nicoletown,2023-11-11,2025-01-28
C00404,Returning,41-60,Male,Johnburgh,2023-07-08,2024-05-16
